,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n,Rebekah,,,"Rebekah was the wife of Abraham's son Isaac. For many years she could not have children, then Isaac prayed and she had twin sons who were named Esau and Jacob. Rebekah's brother's name was Laban, who became the father of Jacob's wives. She lived around 1800 years before Jesus. ",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,Red Sea,"Reed Sea, Reed lake",Red Sea (R);,"The Red sea separates the coasts of Egypt, Sudan, and Eritrea to the west from those of Saudi Arabia and Yemen to the east. Moses led the Israelites across the Red Sea on dry ground in order to escape from Egypt. God caused the Red Sea to separate for the Israelites and then caused it to go back to normal and drown the Pharaoh's army when they tried to follow the Israelites.",,,"Red may be a misspelling of the word Reed, since in Hebrew it is called the Sea of Reeds. CB: I do not agree with this reference to the Sea of Reeds. See this answer: https://www.gotquestions.org/red-reed-sea.html","mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
t,region,area,"land (G);
","A region is an area of land that has common features. The features may be natural, such as mountains, deserts, forests or a type of climate. Or a region could be defined by features such which government rules it, what language is spoken or what religion is observed.","country, nation, empire, kingdom",,GC 08-Feb-19,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Rehoboam,,,"Rehoboam was a foolish son of King Solomon. After Solomon died, Rehoboam became king. But when he increased taxes and treated people harshly, they rebelled, dividing the kingdom in two. Rehoboam ruled over Judah at Jerusalem, but Jeroboam became king over the rest of Israel. (The name Rehoboam means Widen the People.)",,,GC 19-Feb-2019,mod by CB 2024 I only corrected the spelling of Solomon's name,,,,,,,,,,,,,,,,,,,,,,,
t,repent,"repented, repenting, repents, repentance","turning away from wrong things/action and turning to God;
be sad about the bad things you have done. Stop doing them. (G);
think-turn (R); ","Repent is a word in the Bible that means “to change one's mind.” True repentance results in a change of actions and attitude. When a person repents, they stop doing or thinking some things and start doing or thinking of other things. In the Bible when people repent they turn away from sinful ways to obey God, away from the past to a future ruled by God's commands. John the Baptist called people to repent and stop sinnng. Zacchaeus was a man who cheated and stole from people until he met Jesus. He repented of his sin and decided to give to the poor and pay back those he cheated.","forgive, confess ",,"Not a difficult concept. In the NT, choosing to be baptized was an act of repentance. ","mod by CB 2024  I don't agree that we should mention God repenting here.
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
t,rest,"rested, rests, resting",,"Rest means to cease from hard work. God's Law required everyone to rest on the Sabbath or Seventh day of every week. Rest is also (1) a symbol of Israel's arrival in Canaan, and (2) a symbol of the future life of believers when God will reward their faith and obedience.","sabbath, wait",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Reuben,Ruben,,"Reuben was the first son of Jacob and Leah, the  oldest of his eleven brothers. Reuben became an ancestor of one of the twelve tribes of Israel. (The name Reuben means Behold, a Son.)",,,GC 23-Feb-2019,mod by CB - I only corrected the spelling of Reuben,,,,,,,,,,,,,,,,,,,,,,,
t,righteous,"righteousness, right","being true/right/worthy in God's eyes;
very good (G);straight (R, W);
good ones (G);
","Righteous means good, just and doing what is right. God is righteous, because he always does that which is right, good and just. Jesus was righteous, because he obeyed God completely and never sinned. God counts us believers as righteous, because he forgives us all of our sins and accepts us belonging to righteous Jesus. (God has absolute righteousness, where as we receive imputed/substitute righteousness.)","just, holy, good",,,,,,,,,,,,,,,,,,,,,,,,,,
t,riot,"riots, rioting",,"A riot happens when a crowd or a mob becomes violent, trying to harm others or their property.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Rome,"Romans, Roman",,"Rome was and is the capital city of a country called Italy. At the time of Jesus, Rome had conquered much of the world. The empire of Rome ruled over many countries from about 100 years before Jesus till 700 years after Jesus.  Although the Romans brought good laws to every place, they levied heavy taxes and required everyone to honour their gods. The Romans believed that their kings, which they called ""caesar"", were divine gods.  The Jews especially hated the Romans, and the Romans eventually destroyed Israel. Rome built many roads and kept countries from warring against each other.  This allowed the Good News about Jesus to spread very rapidly for 300 years. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Ruth,,,"Ruth was a woman from the country of Moab. She was a widow who had been married to one of Naomi's sons. Although Ruth was not a jewess, she went with Naomi to Israel where a relative of Naomi, a good man named Boaz, married her. Their son became an ancestor of King David and of Jesus.",,,GC 19-Feb-2019,"mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
t,Sabbath,,rest; cease work; Day of Sabat (K);,"Sabbath is a Hebrew word meaning rest or cease from work. After creating the world, God (and later the Law of Moses) decreed the seventh day of each week to be a Sabbath day uniquely for rest, not for doing any normal or hard work. Feasts and festivals were also Sabbath days. In Jesus time, the Jews had added many more rules against activity on Sabbath days. Jesus angered the Jewish leaders because he sometimes broke those rules.
Israelites offered three kinds of sacrifices:
1) Purification sacrifices. Since human beings pollute their community with everything that comes from their body, they had to offer bloody sacrifices to purify Yahweh's tabernacle (tent), so that he could continue to dwell amongst them.
2) Worship sacrifices. Just as people must pay taxes and tribute to chiefs and kings, so humans had to offer up burnt sacrifices to honour Yahweh, along with their prayers and petitions on behalf of their community and of themselves.
3) Thanksgiving sacrifices. Both the community and individuals offered sacrifices in thanks and praise to Yahweh who had provided all that they needed, or after he had answered their prayers.
However, there was no sacrifice to remove the guilt of personal sins and crimes. Much later, Jesus would offer himself as a sacrifice, when he was crucified, so that God forgives the sins of those who repent and trust in Jesus. (Adapted from Lexham Bible Dictionary.) ",rest,,,,,,,,,,,,,,,,,,,,,,,,,,
t,sacrifice,"sacrifices, sacrificed","offer of a slaughtered animal;
giving your life or goods to another (G);gift that is habitually cooked (R); ","A sacrifice is any costly thing that someone would give, kill or burn to please or honour a god or gods. In the Bible the people of many nations would kill an animal or a child to gain the god's favor and avoid disaster. Jehovah God instructed the Israelites to offer certain kinds of animals or produce to cover the disobedience or evil that they had done. When Jesus Christ died, he gave his life so that the sins of people who had faith in him would be forgiven. Christians today offer worship, praise, thanks and their own bodies as a living sacrifice to God.  ",,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Sadducees,Sadducee,,"Sadducees were wealthy, high-class Jews who were in charge of the Jerusalem temple. They were part of the Jewish religious leaders. They disagreed with the Pharisees about keeping rules that were not found in Moses' Law. Sadducees believed that there was no resurrection or afterlife. They didn't believe there was a spiritual world, so there were no angels or demons.","Pharisee, Scribes","This could be removed:  (They also believed that angels exist but denied that angels appeared to humans.) (Hilkka) - JB removed it, and changed to they didn't believe in spiritual world or afterlife!",,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,saint,saints,"one whom God rules, one whom Jesus rules (G); ",Saint means holy person who belongs to God through faith in Jesus. The apostles often addressed the Christians they wrote letters to as saints. ,"Christian, believer, disciple",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Samaria,"Samaritans, Samaritan",,"Samaria had been a northern region of ancient Israel, and later became a province of Rome. After Assyria deported Jews from Samaria around 600 years before Jesus, they brought pagans to live in Samaria. Those people converted to the Jewish religion, but the Jews never accepted the Samaritans as real Jews because they had intermarried with gentiles and some worshipped their own gods while some worshipped the God of Israel. The Jews of Judea despised the Samaritans. ",,"Samaritan, member of a community of Jews, now nearly extinct, that claims to be related by blood to those Jews of ancient Samaria who were not deported by the Assyrian conquerors of the kingdom of Israel in 722 bce. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
n,Samson,,,"Samson lived about 1100 years before Jesus. He was chosen by God to be a judge and leader of the Israelites at a time when they were oppressed by the Philistines. God gave him great physical strength and he slew many of the Philistines. He disobeyed God and married a pagan woman who tricked him, causing him to lose the gift of his strength. (The name Samson means ""sun"".)",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Samuel,,,"Samuel lived around 1150 years before Jesus. He was an important man in the Bible who served as a priest, was the last judge in Israel and the first prophet. He is the one who anointed Saul and David as kings of Israel. (The name Samuel means ""God has heard"" or ""Name of God"".) ",,,,"mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
t,sanctify,"sancified, sanctifies","make one a person who really obeys God (G); 
cleans (W);","To sanctify something is to set it apart for a special use, to make it holy or sacred before God. To sanctify a person is to make him holy. All believers become sanctified when they are born of God because his Holy Spirit lives in them. ","justify, clean, holy",,GC 15-Feb-2019,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,Sanhedrin,,meeting (R); people of meeting (R); gathering of leaders (W);,"The Sanhedrin in Jesus' time was a council of 71 men who ruled over Jewish religion and affairs. They were led by the Jewish high priest. The Sanhedrin ruled that Jesus must die, and they sent him to the Romans to be crucified. Later on, they ruled that Paul should die.",,,"In 2018, the Sanhedrin in again active in Israel. ",mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Sapphira,,,"Sapphira and her husband Ananias were some of the first Christians and their story is told in the book of Acts. They sold some land and gave part of the money to help poor Christians. But when they lied about how much money they had sold the land for, they fell dead.(The name Sapphira means ""Blue sapphire,"" a precious stone.)",,,GC 19-Feb-19,"mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
n,Sarah,,,"Sarah was Abraham's first wife. Even though she was barren for many years, God promised that she would bear a son in her old age. God changed her name from Sarai, which means quarrelsome, to Sarah, which means Princess, before the prominsed son, Isaac, was born.",Sarai,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Sarai,,,"Sarai was Abraham's first wife who became the mother of Isaac. God changed Sarai's name to Sarah. (Sarai means quarrelsome, Sarah means princess.)",Sarah,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Satan,devil,"crooked mouth (G);
enemy of God;
chief leader of the evil spirits (G);
spirit who accuses others;
Seytaane (W)","Satan means Accuser or Adversary. Satan is a powerful, evil spirit or devil who tempts humans to do wrong, then accuses them before God. However, Jesus defends believers before God. Eventually, Jesus will cast Satan into the Lake of Fire forever.","demon, Beelzebul",Seytaane not helpful in PNG.,"In Hebrew, he is ha-satan = the accuser. The Book of Revelation alone makes Satan = Serpent = Dragon = Devil.",rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Saul,,,"There were two men named Saul: (1) A tall, handsome-looking man whom Israel chose to be its first king 1100 years before Jesus. (2) A Jewish Pharisee who sought to kill Christians. He later became a Christian and an Apostle, taking the Good News to Gentiles using the name Paul. (The Hebrew name Saul means Asked for.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
